id_key,sympt_code,jor_sympt,jor_sympt::arabic
A80,A80_1,Rapid onset (weeks),بداية سريعة (أسابيع)
A80,A80_2,Loss of muscle tone (floppy),فقدان قوة العضلات (المرونة)
A80,A80_3,Muscle weakness (paralysis),ضعف العضلات (الشلل)
A80,A80_4,One or more limbs involved,واحد أو أكثر من الأطراف المعنية
A80,A80_5,Other,أخرى
A80,A80_6,None of the above,لا شيء مما سبق
A9,A9_1,Acute onset of fever,بداية حادة من الحمى
A9,A9_2,Haemorrhagic or purpuric rash,الطفح النزفي
A9,A9_3,Bleeding from the nose,نزيف من الأنف
A9,A9_4,Vomiting blood,قيء الدم
A9,A9_5,Coughing up blood,سعال الدم
A9,A9_6,Blood in stools,دم في البراز
A9,A9_7,Other,أخرى
A9,A9_8,None of the above,لا شيء مما سبق
B05,B05_1,High fever ,حرارة مرتفعة
B05,B05_2,Red maculopapular (blotchy) rash 3 to 7 daysa after onset starting behind the ears and hairline,البقعي الأحمر (بقع) الطفح الجلدي 3 إلى 7 أيام تبدأ بالظهور خلف الأذنين وخط الشعر
B05,B05_3,Runny nose,سيلان الأنف
B05,B05_4,Cough,السعال
B05,B05_5,Conjunctivitis,التهاب الملتحمة
B05,B05_6,Koplik spots (small white spots on buccal mucosa),بقع كوبليك (بقع بيضاء صغيرة على مخاطية الشدق)
B05,B05_7,Other,أخرى
B05,B05_8,None of the above,لا شيء مما سبق
A00,A00_1,"Watery diarrhoea (3 or more abnormally loose or fluid stools in the past 24 hours, ""rice-water"" stool with or without vomiting)","الإسهال المائي (3 مرات أو أكثر بشكل غير طبيعي من براز رخو أو سوائل خلال ال 24 ساعة الماضية، البراز ""ماء الأرز"" مع أو بدون قيء)"
A00,A00_2,"Severe dehydration (including any of the following loss of skin turgor, malaise, tachypnoea, hypotension)",الجفاف الشديد (بما في ذلك أي من التالية من تورم الجلد، والشعور بالضيق، وتسارع التنفس، انخفاض ضغط الدم)
A00,A00_3,Fever (more common in children),حمى (أكثر شيوعا في الأطفال)
A00,A00_4,Other,أخرى
A00,A00_5,None of the above,لا شيء مما سبق
"B15, B16, B17",B15-17_1,Asymptomatic,غير معد
"B15, B16, B17",B15-17_2,Jaundice,اليرقان
"B15, B16, B17",B15-17_3,Dark/brown urine,البول الداكن/البني
"B15, B16, B17",B15-17_4,Anorexia,فقدان الشهية
"B15, B16, B17",B15-17_5,Malaise,توعك
"B15, B16, B17",B15-17_6,Fatigue,تعب
"B15, B16, B17",B15-17_7,Pain in upper right quadrant,الألم في الربع العلوي الأيمن
"B15, B16, B17",B15-17_8,Other,أخرى
"B15, B16, B17",B15-17_9,None of the above,لا شيء مما سبق
"A39, G00, A87",A39_1,Sudden onset of intense headache,حدوث مفاجئ للصداع الشديد
"A39, G00, A87",A39_2,Suddepn onset of fever,حدوث مفاجئ للحمى
"A39, G00, A87",A39_3,Sudden onset of nausea,حدوث مفاجئ للغثيان
"A39, G00, A87",A39_4,Sudden onset of vomiting,حدوث مفاجئ للقيء
"A39, G00, A87",A39_5,Sudden onset of photophobia,حدوث مفاجئ لرهاب الضوء
"A39, G00, A87",A39_6,Sudden onset of stiff neck,حدوث مفاجئ لتصلب الرقبة
"A39, G00, A87",A39_7,Lethargy,الخمول
"A39, G00, A87",A39_8,Delirium,الهذيان
"A39, G00, A87",A39_9,Coma,غيبوبة
"A39, G00, A87",A39_10,Purpura,تبقع قرمزي
"A39, G00, A87",A39_11,Shock symptoms,أعراض الصدمة
"A39, G00, A87",A39_12,Other,أخرى
"A39, G00, A87",A39_13,None of the above,لا شيء مما سبق
A03,A03_1,Malnourished,يعاني من سوء التغذية
A03,A03_2,Bloody diarrhoea (3 or more abnormally loose or fluid stools in past 24 hours with visible blood),الإسهال الدموي (3 مرات أو أكثر من براز رخو أو السوائل بشكل غير طبيعي خلال 24 ساعة الماضية مع دم مرئي)
A03,A03_3,Fever,الحمى
A03,A03_4,Abdominal cramps,تقلصات في البطن
A03,A03_5,Rectal pain,ألم المستقيم
A03,A03_6,Seizures,نوبة مرضية
A03,A03_7,Sepsis,الإنتان
A03,A03_8,Rectal prolapsed,هبوط المستقيم
A03,A03_9,Toxic megacolon,تضخم القولون السمي
A03,A03_10,Hemolytic uraemic syndrome,متلازمة انحلال الدم اليوريمي
A03,A03_11,Other,أخرى
A03,A03_12,None of the above,لا شيء مما سبق
"B20, B21, B22, B23, B24",B20-24_1,Moderate unexplained weight loss (<10% of presumed or measured body weight),المعتدلة فقدان الوزن غير المبررة (<10٪ من يفترض أو قياس وزن الجسم)
"B20, B21, B22, B23, B24",B20-24_2,Severe weight loss (>10% of presumed or measured body weight),فقدان الوزن الشديد (> 10٪ من يفترض أو قياس وزن الجسم)
"B20, B21, B22, B23, B24",B20-24_3,Persistent generalized lymphadenopathy (PGL),استمرار اعتلال العقد اللمفاوية المعمم (PGL)
"B20, B21, B22, B23, B24",B20-24_4,Recurrent respiratory tract infections ,التهابات الجهاز التنفسي المتكررة
"B20, B21, B22, B23, B24",B20-24_5,Herpes zoster,الهربس النطاقي
"B20, B21, B22, B23, B24",B20-24_6,Angular cheilitis,صماغ
"B20, B21, B22, B23, B24",B20-24_7,Recurrent oral ulcerations,تقرحات الفم المتكررة
"B20, B21, B22, B23, B24",B20-24_8,Papular pruritic eruptions,الثورات حاكة حطاطية
"B20, B21, B22, B23, B24",B20-24_9,Seborrhoeic dermatitis,التهاب الجلد الدهني
"B20, B21, B22, B23, B24",B20-24_10,Fungal nail infections,التهابات الأظافر الفطرية
"B20, B21, B22, B23, B24",B20-24_11,Extensive human papilloma virus infection,عدوى فيروس الورم الحليمي البشري واسعة النطاق
"B20, B21, B22, B23, B24",B20-24_12,Extensive molluscum contagiosum,واسعة المليساء المعدية
"B20, B21, B22, B23, B24",B20-24_13,Lineal gingival erythema (LGE),حمامي اللثة  (LGE)
"B20, B21, B22, B23, B24",B20-24_14,Parotoid enlargement,تضخم النكافية
"B20, B21, B22, B23, B24",B20-24_15,Unexplained chronic diarrhoea for longer than one month,الإسهال المزمن غير المبرر لمدة أكثر من شهر واحد
"B20, B21, B22, B23, B24",B20-24_16,Unexplained persistent fever (>1 month),الحمى المستمرة غير المبررة (> 1 شهر)
"B20, B21, B22, B23, B24",B20-24_17,Oral candidiasis,داء المبيضات الفموي
"B20, B21, B22, B23, B24",B20-24_18,Oral hairy leukoplakia,الطلاوة المشعرة عن طريق الفم
"B20, B21, B22, B23, B24",B20-24_19,Pulmonary TB diagnosed in last 2 years,السل الرئوي تشخيصها في السنوات الأخيرة (2)
"B20, B21, B22, B23, B24",B20-24_20,"Severe presumed bacterial infections (e.g. pneumonia, empyema)",الالتهابات البكتيرية يفترض الشديدة (مثل الالتهاب الرئوي ودبيلة)
"B20, B21, B22, B23, B24",B20-24_21,Acute necrotizing ulcerative stomatitis/gingivitis/periodontitis,الحادة الناخر التقرحي التهاب الفم / التهاب اللثة / اللثة
"B20, B21, B22, B23, B24",B20-24_22,HIV wasting syndrome,متلازمة الهزال فيروس نقص المناعة البشرية
"B20, B21, B22, B23, B24",B20-24_23,Pneumocystis pneumonia,التهاب رئوي
"B20, B21, B22, B23, B24",B20-24_24,Recurrent severe or radiological bacterial pneumonia,الالتهاب الرئوي البكتيري الحاد أو الإشعاعي المتكررة
"B20, B21, B22, B23, B24",B20-24_25,"Chronic herpes simplex infection (orolabial, genital or anorectal >1 month)",عدوى الهربس البسيط المزمن (orolabial، الأعضاء التناسلية أو الشرجية> 1 شهر)
"B20, B21, B22, B23, B24",B20-24_26,Oesophageal candidiasis,المبيضات المريئي
"B20, B21, B22, B23, B24",B20-24_27,Extrapulmonary TB,السل خارج الرئة
"B20, B21, B22, B23, B24",B20-24_28,Kaposi's sarcoma,ساركوما كابوزي
"B20, B21, B22, B23, B24",B20-24_29,CNS toxoplasmosis,CNS داء المقوسات
"B20, B21, B22, B23, B24",B20-24_30,HIV encephalopathy,فيروس نقص المناعة البشرية - اعتلال الدماغ
"B20, B21, B22, B23, B24",B20-24_31,Other,أخرى
"B20, B21, B22, B23, B24",B20-24_32,None of the above,لا شيء مما سبق
"B50, B51, B52, B53, B54",B50-54_1,Headache,صداع
"B50, B51, B52, B53, B54",B50-54_2,General pain in the back and joints,ألم عام وفي الظهر والمفاصل
"B50, B51, B52, B53, B54",B50-54_3,Nausea or vomiting,غثيان أو قيء
"B50, B51, B52, B53, B54",B50-54_4,Enlarged spleen and liver,تضخم الطحال والكبد
"B50, B51, B52, B53, B54",B50-54_5,Anaemia,فقر دم
"B50, B51, B52, B53, B54",B50-54_6,Other,أخرى
"B50, B51, B52, B53, B54",B50-54_7,None of the above,لا شيء مما سبق
B55,B55_1,Ulcers on exposed parts of the body,تقرحات على الاجزاء المكشوفه من الجسم
B55,B55_2,"Lesions on mucous membranes in the nose, mouth, throat cavities and surrounding tissues",آفات على الأغشية المخاطية في الأنف والفم والحلق وتسوس الأسنان والأنسجة المحيطة بها
B55,B55_3,Irregular fever,حمى غير منتظمة
B55,B55_4,Weight loss,فقدان الوزن
B55,B55_5,Swelling of spleen,تورم الطحال
B55,B55_6,Swelling of liver,تورم الكبد
B55,B55_7,Anaemia,فقر الدم
B55,B55_8,Other,أخرى
B55,B55_9,None of the above,لا شيء مما سبق
B65,B65_1,Presence of blood in the urine or stool,وجود دم في البول أو البراز
B65,B65_2,Frequent urination,كثرة التبول
B65,B65_3,Difficult urination,صعوبة التبول
B65,B65_4,Pain in the lower abdomen,ألم في أسفل البطن
B65,B65_5,Other,أخرى
B65,B65_6,None of the above,لا شيء مما سبق
A36,A36_1,Fever,الحمى
A36,A36_2,Running nose,سيلان الأنف
A36,A36_3,Cough,السعال
