name,form,db_column,alert,daily,method,condition,classification,category,secondary_condition,classification_casedef,source,source_link,alert_desc,case_def,risk_factors,symptoms,labs_diagnostics,
Total,demo_case,index,,1,count,,jor,"front, key_indicators",intro./visit_type:new,,,,,,,,,
Male,demo_case,pt1./gender,,1,count_occurence,male,jor,"gender,front",intro./visit_type:new,,,,,,,,,
Female,demo_case,pt1./gender,,1,count_occurence,female,jor,"gender,front",intro./visit_type:new,,,,,,,,,
Null Island,demo_case,nationality,,1,count_occurence,null_island,jor,"front, nationality",intro./visit_type:new,,,,,,,,,
Demo,demo_case,nationality,,1,count_occurence,demo,jor,"front, nationality",intro./visit_type:new,,,,,,,,,
<5,demo_case,pt1./age,,1,int_between,"0,5",jor,"age,front",intro./visit_type:new,,,,,,,,,
5-9,demo_case,pt1./age,,1,int_between,"5,10",jor,"age,front",intro./visit_type:new,,,,,,,,,
10-14,demo_case,pt1./age,,1,int_between,"10,15",jor,"age,front",intro./visit_type:new,,,,,,,,,
15-19,demo_case,pt1./age,,1,int_between,"15,20",jor,"age,front",intro./visit_type:new,,,,,,,,,
20-59,demo_case,pt1./age,,1,int_between,"20,60",jor,"age,front",intro./visit_type:new,,,,,,,,,
>60,demo_case,pt1./age,,1,int_between,"60,2000",jor,"age,front",intro./visit_type:new,,,,,,,,,
Female <5,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","female:0,5",jor,,intro./visit_type:new,,,,,,,,,
Female 5-9,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","female:5,10",jor,,intro./visit_type:new,,,,,,,,,
Female 10-14,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","female:10,15",jor,,intro./visit_type:new,,,,,,,,,
Female 15-19,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","female:15,20",jor,,intro./visit_type:new,,,,,,,,,
Female 20-59,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","female:20,60",jor,,intro./visit_type:new,,,,,,,,,
Female >60,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","female:60,1200",jor,,intro./visit_type:new,,,,,,,,,
Male <5,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","male:0,5",jor,,intro./visit_type:new,,,,,,,,,
Male 5-9,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","male:5,10",jor,,intro./visit_type:new,,,,,,,,,
Male 10-14,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","male:10,15",jor,,intro./visit_type:new,,,,,,,,,
Male 15-19,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","male:15,20",jor,,intro./visit_type:new,,,,,,,,,
Male 20-59,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","male:20,60",jor,,intro./visit_type:new,,,,,,,,,
Male >60,demo_case,"pt1./gender,pt1./age",,1,"count_occurence,int_between","male:60,1200",jor,,intro./visit_type:new,,,,,,,,,
National,demo_case,pt1./status,,1,count_occurence,national,jor,"front, status",intro./visit_type:new,,,,,,,,,
Refugee,demo_case,pt1./status,,1,count_occurence,"refugee,unreg_refugee",jor,"front, status",intro./visit_type:new,,,,,,,,,
Other,demo_case,pt1./status,,1,count_occurence,"other,dnk_status",jor,"front, status",intro./visit_type:new,,,,,,,,,
Communicable disease,demo_case,"icd_code,pt1./age",,1,"count_occurence_in,int_between","A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,A85,A86,A87,A88,A89,A90,A91,A92,A93,A94,A95,A96,A97,A98,A99,B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B61,B62,B63,B64,B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83,B85,B86,B87,B88,B89,B90,B91,B92,B93,B94,B95,B96,B97,B98,B99,I00,I01,I05,I06,I07,I08,I09,J00,J01,J02,J03,J04,J05,J06,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J20,J21,J22:5,140",jor,"pc,front",intro./visit_type:new,,,,,,,,,
